AAPL,2021-10-14T10:52:00+03:00,112.093206,119.578587,100.593426,100.593426
SBER,2021-10-14T10:52:00+03:00,218.810182,219.098909,200.038078,200.038078
NVDA,2021-10-14T10:52:00+03:00,313.291201,319.538337,300.010276,300.056861
TSLA,2021-10-14T10:52:00+03:00,408.754284,419.719295,400.566062,418.316426
AAPL,2021-10-14T10:54:00+03:00,103.658498,119.578587,100.256518,115.615082
SBER,2021-10-14T10:54:00+03:00,208.567142,219.983190,200.038078,201.842352
NVDA,2021-10-14T10:54:00+03:00,317.939839,317.939839,300.010276,301.069892
TSLA,2021-10-14T10:54:00+03:00,413.653070,419.719295,400.606451,414.293916
AAPL,2021-10-14T10:56:00+03:00,109.832148,119.341887,100.256518,107.405351
SBER,2021-10-14T10:56:00+03:00,219.159078,219.983190,200.374264,202.003988
NVDA,2021-10-14T10:56:00+03:00,315.944171,319.477637,300.153624,312.864081
TSLA,2021-10-14T10:56:00+03:00,402.147622,419.965476,400.396173,415.397782
AAPL,2021-10-14T10:58:00+03:00,104.956890,119.517905,100.296547,104.591472
SBER,2021-10-14T10:58:00+03:00,218.267981,219.709312,200.088893,200.265711
NVDA,2021-10-14T10:58:00+03:00,301.500744,319.782642,300.097596,318.998748
TSLA,2021-10-14T10:58:00+03:00,416.702076,419.965476,401.075712,417.987429
TSLA,2021-10-14T11:00:00+03:00,405.772766,419.719887,400.814399,415.794344
