AAPL,2021-10-14T10:52:00+03:00,112.093206,112.093206,101.939390,105.862285
SBER,2021-10-14T10:52:00+03:00,218.810182,218.810182,205.862037,205.941651
NVDA,2021-10-14T10:52:00+03:00,313.291201,315.051461,301.312740,315.051461
TSLA,2021-10-14T10:52:00+03:00,408.754284,417.249829,403.130385,404.131653
AAPL,2021-10-14T10:53:00+03:00,105.862285,118.656929,103.166566,103.658498
SBER,2021-10-14T10:53:00+03:00,205.941651,214.836979,201.182413,208.567142
NVDA,2021-10-14T10:53:00+03:00,315.051461,319.538337,304.830302,317.939839
TSLA,2021-10-14T10:53:00+03:00,404.131653,414.604630,400.566062,413.653070
AAPL,2021-10-14T10:54:00+03:00,103.658498,119.578587,100.593426,100.593426
SBER,2021-10-14T10:54:00+03:00,208.567142,219.098909,200.038078,200.038078
NVDA,2021-10-14T10:54:00+03:00,317.939839,317.939839,300.010276,300.056861
TSLA,2021-10-14T10:54:00+03:00,413.653070,419.719295,404.776814,418.316426
AAPL,2021-10-14T10:55:00+03:00,100.593426,115.063226,100.503879,109.832148
SBER,2021-10-14T10:55:00+03:00,200.038078,219.513496,200.038078,219.159078
NVDA,2021-10-14T10:55:00+03:00,300.056861,316.308103,300.056861,315.944171
TSLA,2021-10-14T10:55:00+03:00,418.316426,418.592233,400.606451,402.147622
AAPL,2021-10-14T10:56:00+03:00,109.832148,116.529083,100.256518,115.615082
SBER,2021-10-14T10:56:00+03:00,219.159078,219.983190,200.613644,201.842352
NVDA,2021-10-14T10:56:00+03:00,315.944171,316.558562,301.069892,301.069892
TSLA,2021-10-14T10:56:00+03:00,402.147622,414.293916,402.147622,414.293916
AAPL,2021-10-14T10:57:00+03:00,115.615082,117.596897,100.430676,104.956890
SBER,2021-10-14T10:57:00+03:00,201.842352,219.555270,201.842352,218.267981
NVDA,2021-10-14T10:57:00+03:00,301.069892,319.477637,300.715093,301.500744
TSLA,2021-10-14T10:57:00+03:00,414.293916,418.997664,400.396173,416.702076
AAPL,2021-10-14T10:58:00+03:00,104.956890,119.341887,100.296547,107.405351
SBER,2021-10-14T10:58:00+03:00,218.267981,219.709312,200.374264,202.003988
NVDA,2021-10-14T10:58:00+03:00,301.500744,318.095525,300.153624,312.864081
TSLA,2021-10-14T10:58:00+03:00,416.702076,419.965476,401.938684,415.397782
AAPL,2021-10-14T10:59:00+03:00,107.405351,119.262788,103.631817,118.195226
SBER,2021-10-14T10:59:00+03:00,202.003988,219.374923,202.003988,218.887943
NVDA,2021-10-14T10:59:00+03:00,312.864081,319.065175,305.469895,309.972649
TSLA,2021-10-14T10:59:00+03:00,415.397782,416.197485,401.075712,405.772766
AAPL,2021-10-14T11:00:00+03:00,118.195226,119.517905,103.418921,104.591472
SBER,2021-10-14T11:00:00+03:00,218.887943,219.012465,200.088893,200.265711
NVDA,2021-10-14T11:00:00+03:00,309.972649,319.782642,300.097596,318.998748
TSLA,2021-10-14T11:00:00+03:00,405.772766,418.528228,401.945232,417.987429
TSLA,2021-10-14T11:01:00+03:00,417.987429,419.719887,400.814399,415.794344
