AAPL,2021-10-12T12:10:00+03:00,112.093206,119.966662,100.089786,118.294028
SBER,2021-10-12T12:10:00+03:00,218.810182,219.983190,200.038078,207.362021
NVDA,2021-10-12T12:10:00+03:00,313.291201,319.782642,300.010276,303.169105
TSLA,2021-10-12T12:10:00+03:00,408.754284,419.965476,400.132539,401.820357
AAPL,2021-10-12T12:20:00+03:00,107.816849,119.990848,100.089786,103.414024
SBER,2021-10-12T12:20:00+03:00,218.385090,219.620322,200.111670,202.356306
NVDA,2021-10-12T12:20:00+03:00,302.993710,319.642319,300.028231,300.678400
TSLA,2021-10-12T12:20:00+03:00,410.407840,419.551954,400.132539,403.377820
AAPL,2021-10-12T12:30:00+03:00,112.892744,119.990848,100.279089,100.654382
SBER,2021-10-12T12:30:00+03:00,210.353649,219.962355,200.042113,205.064206
NVDA,2021-10-12T12:30:00+03:00,301.727266,319.887387,300.045022,308.793226
TSLA,2021-10-12T12:30:00+03:00,404.835369,419.938427,400.188131,413.009206
